word_1,word_2,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
phone,radio,0.63,1,y,1,943.1178569793701,27
hotel,lobby,0.71,1,y,1,826.6739845275879,27
tennis,scocer,0.0,0,y,0,723.5360145568848,27
tea,bicycle,0.25,1,y,1,744.68994140625,27
virus,bieracta,0.0,0,n,1,1036.6530418395996,27
blood,platelet,0.53,1,y,1,829.880952835083,27
hotel,bbloy,0.0,0,n,1,790.787935256958,27
hotel,lbboy,0.0,0,n,1,867.8929805755615,27
office,chair,0.53,1,y,1,883.0199241638184,27
insect,tmierte,0.0,0,n,1,815.1330947875977,27
tea,coffee,0.89,1,y,1,611.4590167999268,27
cloth,aeprpal,0.0,0,n,1,742.3291206359863,27
engine,train,0.63,1,y,1,591.8130874633789,27
office,jelly,0.24,1,n,0,663.3470058441162,27
shirt,tersuor,0.0,0,n,1,1397.1400260925293,27
truck,paper,0.24,1,y,1,575.0179290771484,27
phone,light,0.2,1,y,1,580.3120136260986,27
photo,cmarea,0.0,0,y,0,593.087911605835,27
lava,mgama,0.0,0,n,1,995.8000183105469,27
chocolate,diary,0.27,1,y,1,613.6071681976318,27
truck,vehicle,0.8,1,y,1,780.907154083252,27
chocolate,ibcstui,0.0,0,n,1,852.9059886932373,27
virus,bacteria,0.88,1,y,1,625.6420612335205,27
insect,ttemier,0.0,0,n,1,980.748176574707,27
tongue,selmuc,0.0,0,y,0,623.2960224151611,27
guitar,iovlni,0.0,0,n,1,986.6430759429932,27
office,caihr,0.0,0,y,0,643.4218883514404,27
hotel,onion,0.44,1,y,1,1008.3539485931396,27
tea,cofefe,0.0,0,y,0,709.2990875244141,27
cloth,charger,0.33,1,y,1,730.8080196380615,27
virus,riatcaeb,0.0,0,n,1,890.7129764556885,27
fruit,orange,0.86,1,y,1,629.040002822876,27
tongue,pencil,0.25,1,y,1,1019.7980403900146,27
tongue,muscle,0.8,1,y,1,780.0018787384033,27
shirt,trouser,0.9,1,y,1,859.7850799560547,27
phone,rdaio,0.0,0,y,0,735.5530261993408,27
fruit,rneaog,0.0,0,n,1,796.701192855835,27
shirt,ueortrs,0.0,0,n,1,833.1649303436279,27
lava,magma,0.78,1,y,1,967.3960208892822,27
virus,bottle,0.47,1,y,1,734.8229885101318,27
phone,adior,0.0,0,n,1,758.5239410400391,27
blood,ptaelelt,0.0,0,y,0,779.82497215271,27
engine,tnria,0.0,0,n,1,1381.6909790039062,27
bread,laptop,0.2,1,y,1,774.0731239318848,27
chocolate,biscuit,0.59,1,y,1,787.8148555755615,27
bread,utrtbe,0.0,0,n,1,667.92893409729,27
tongue,muslce,0.0,0,y,0,644.3400382995605,27
photo,camera,0.59,1,y,1,826.6160488128662,27
insect,termite,0.95,1,y,1,725.8119583129883,27
photo,burger,0.42,1,y,1,626.4879703521729,27
guitar,lemon,0.36,1,y,1,655.5969715118408,27
bread,butter,0.75,1,y,1,541.923999786377,27
tennis,rsocce,0.0,0,n,1,830.0559520721436,27
cloth,apparel,0.71,1,y,1,831.0301303863525,27
fruit,airplane,0.38,1,y,1,861.8900775909424,27
guitar,voilin,0.0,0,y,0,665.1709079742432,27
engine,tairn,0.0,0,n,1,964.3070697784424,27
fruit,ongrae,0.0,0,n,1,1049.955129623413,27
insect,lunch,0.22,1,y,1,993.1769371032715,27
cloth,paeaplr,0.0,0,n,1,909.6341133117676,27
lava,mgmaa,0.0,0,y,0,563.8241767883301,27
chocolate,bcsiiut,0.0,0,y,0,1486.0541820526123,27
doctor,eusrn,0.0,0,n,1,877.4731159210205,27
engine,skeleton,0.12,1,y,1,857.9270839691162,27
photo,raacem,0.0,0,n,1,1172.0390319824219,27
lava,biscuit,0.33,1,y,1,837.5821113586426,27
bread,buettr,0.0,0,n,1,865.6868934631348,27
doctor,nruse,0.0,0,n,1,890.5429840087891,27
shirt,flower,0.4,1,y,1,1014.7712230682373,27
doctor,nurse,0.87,1,y,1,807.1451187133789,27
blood,ttllpeae,0.0,0,n,1,908.1070423126221,27
tennis,mouse,0.09,1,y,1,790.6031608581543,27
doctor,shampoo,0.21,1,y,1,835.0470066070557,27
office,iahcr,0.0,0,n,1,724.6689796447754,27
tennis,soccer,0.75,1,y,1,688.1380081176758,27
blood,skirt,0.27,1,y,1,706.3450813293457,27
truck,vclhiee,0.0,0,n,1,619.9851036071777,27
guitar,violin,0.86,1,y,1,660.9728336334229,27
tea,eceoff,0.0,0,n,1,994.0791130065918,27
truck,ilevehc,0.0,0,n,1,1027.7109146118164,27
