word_1,word_2,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list
truck,vehicle,0.8,1,y,1,1224.4219779968262,22
virus,bacteria,0.88,1,y,1,970.4310894012451,22
fruit,airplane,0.38,1,y,1,904.5560359954834,22
office,chair,0.53,1,y,1,689.8601055145264,22
photo,burger,0.42,1,y,1,936.2750053405762,22
tennis,rsocce,0.0,0,n,1,1174.881935119629,22
shirt,ueortrs,0.0,0,n,1,889.2331123352051,22
engine,tairn,0.0,0,n,1,1071.3040828704834,22
shirt,trouser,0.9,1,y,1,962.0599746704102,22
bread,utrtbe,0.0,0,n,1,1101.7320156097412,22
office,iahcr,0.0,0,n,1,729.7441959381104,22
tongue,muslce,0.0,0,y,0,1381.0558319091797,22
bread,laptop,0.2,1,n,0,1936.600923538208,22
chocolate,biscuit,0.59,1,y,1,1136.2860202789307,22
truck,paper,0.24,1,y,1,1186.50484085083,22
chocolate,diary,0.27,1,y,1,869.9359893798828,22
cloth,charger,0.33,1,y,1,893.718957901001,22
virus,bottle,0.47,1,y,1,771.6748714447021,22
lava,magma,0.78,1,y,1,881.0911178588867,22
fruit,rneaog,0.0,0,n,1,997.4219799041748,22
bread,buettr,0.0,0,n,1,1071.9079971313477,22
truck,ilevehc,0.0,0,n,1,762.18581199646,22
phone,light,0.2,1,y,1,915.7590866088867,22
fruit,orange,0.86,1,y,1,998.3968734741211,22
tongue,pencil,0.25,1,y,1,706.8121433258057,22
phone,rdaio,0.0,0,n,1,985.3370189666748,22
truck,vclhiee,0.0,0,n,1,858.4330081939697,22
photo,raacem,0.0,0,n,1,1045.9191799163818,22
lava,mgama,0.0,0,n,1,853.2629013061523,22
tennis,mouse,0.09,1,y,1,912.6691818237305,22
tongue,selmuc,0.0,0,n,1,1105.48996925354,22
cloth,apparel,0.71,1,y,1,756.1938762664795,22
shirt,tersuor,0.0,0,n,1,1443.6120986938477,22
insect,termite,0.95,1,y,1,1177.9258251190186,22
lava,biscuit,0.33,1,y,1,874.7179508209229,22
blood,ttllpeae,0.0,0,n,1,800.0259399414062,22
doctor,nruse,0.0,0,n,1,1008.1119537353516,22
hotel,lobby,0.71,1,y,1,868.927001953125,22
blood,platelet,0.53,1,n,0,1214.2999172210693,22
guitar,iovlni,0.0,0,n,1,1436.8231296539307,22
insect,lunch,0.22,1,y,1,1185.7781410217285,22
tea,cofefe,0.0,0,y,0,588.6890888214111,22
doctor,eusrn,0.0,0,n,1,953.1979560852051,22
lava,mgmaa,0.0,0,n,1,796.4739799499512,22
doctor,nurse,0.87,1,y,1,815.4208660125732,22
guitar,violin,0.86,1,y,1,890.859842300415,22
tennis,soccer,0.75,1,y,1,640.31982421875,22
guitar,voilin,0.0,0,y,0,766.1330699920654,22
hotel,bbloy,0.0,0,n,1,741.8711185455322,22
tea,bicycle,0.25,1,y,1,707.2279453277588,22
tennis,scocer,0.0,0,n,1,870.0530529022217,22
blood,ptaelelt,0.0,0,n,1,1190.8071041107178,22
tongue,muscle,0.8,1,y,1,910.1510047912598,22
insect,tmierte,0.0,0,n,1,856.9929599761963,22
fruit,ongrae,0.0,0,n,1,862.1959686279297,22
photo,cmarea,0.0,0,n,1,1315.5298233032227,22
bread,butter,0.75,1,y,1,924.6368408203125,22
engine,train,0.63,1,y,1,1004.5630931854248,22
office,jelly,0.24,1,y,1,856.3292026519775,22
hotel,lbboy,0.0,0,n,1,811.359167098999,22
engine,tnria,0.0,0,n,1,1003.8859844207764,22
hotel,onion,0.44,1,y,1,945.4610347747803,22
doctor,shampoo,0.21,1,y,1,893.4299945831299,22
engine,skeleton,0.12,1,y,1,1024.8448848724365,22
shirt,flower,0.4,1,y,1,677.5710582733154,22
phone,adior,0.0,0,n,1,856.1952114105225,22
guitar,lemon,0.36,1,y,1,836.8198871612549,22
blood,skirt,0.27,1,y,1,715.1269912719727,22
phone,radio,0.63,1,y,1,792.046070098877,22
tea,coffee,0.89,1,y,1,533.1830978393555,22
virus,riatcaeb,0.0,0,n,1,813.8248920440674,22
chocolate,bcsiiut,0.0,0,n,1,695.7221031188965,22
cloth,aeprpal,0.0,0,n,1,1356.1859130859375,22
office,caihr,0.0,0,n,1,948.1971263885498,22
chocolate,ibcstui,0.0,0,n,1,818.3078765869141,22
cloth,paeaplr,0.0,0,n,1,770.9300518035889,22
virus,bieracta,0.0,0,n,1,724.8899936676025,22
photo,camera,0.59,1,y,1,743.9060211181641,22
insect,ttemier,0.0,0,n,1,923.4368801116943,22
tea,eceoff,0.0,0,n,1,744.359016418457,22
