word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
bread,utrtbe,3,0.0,0,n,1,1389.2161846160889,18,1
bread,laptop,4,0.2,1,y,1,1108.0188751220703,18,1
engine,tairn,2,0.0,0,n,1,1035.4909896850586,18,1
doctor,shampoo,4,0.21,1,y,1,937.0632171630859,18,1
engine,train,1,0.63,1,y,1,1017.2019004821776,18,1
doctor,nruse,2,0.0,0,y,0,705.6901454925537,18,1
tea,coffee,1,0.89,1,y,1,1206.5091133117674,18,1
blood,ttllpeae,3,0.0,0,n,1,915.4911041259766,18,1
fruit,rneaog,3,0.0,0,n,1,1035.2449417114258,18,1
doctor,nurse,1,0.87,1,y,1,747.622013092041,18,1
phone,radio,1,0.63,1,n,0,972.7787971496582,18,1
phone,rdaio,2,0.0,0,n,1,1100.6588935852049,18,1
tea,bicycle,4,0.25,1,y,1,754.7791004180908,18,1
tongue,pencil,4,0.25,1,y,1,1063.5759830474854,18,1
truck,paper,4,0.24,1,y,1,944.0929889678956,18,1
phone,adior,3,0.0,0,n,1,890.0909423828125,18,1
bread,butter,1,0.75,1,y,1,706.3169479370117,18,1
fruit,airplane,4,0.38,1,y,1,1044.5289611816406,18,1
hotel,onion,4,0.44,1,y,1,900.8028507232666,18,1
tongue,selmuc,3,0.0,0,n,1,836.6129398345947,18,1
hotel,lbboy,2,0.0,0,y,0,978.02996635437,18,1
virus,bieracta,2,0.0,0,y,0,991.1479949951172,18,1
tongue,muslce,2,0.0,0,y,0,1943.5300827026367,18,1
tea,eceoff,3,0.0,0,n,1,1983.2470417022705,18,1
shirt,flower,4,0.4,1,y,1,1099.0707874298096,18,1
insect,tmierte,2,0.0,0,n,1,1149.1389274597168,18,1
virus,riatcaeb,3,0.0,0,n,1,1180.5250644683838,18,1
virus,bacteria,1,0.88,1,n,0,1116.3449287414549,18,1
office,caihr,2,0.0,0,n,1,1560.8129501342773,18,1
guitar,voilin,2,0.0,0,y,0,779.3190479278564,18,1
tennis,scocer,2,0.0,0,y,0,944.8089599609376,18,1
phone,light,4,0.2,1,y,1,896.6000080108643,18,1
truck,vclhiee,2,0.0,0,n,1,956.2971591949464,18,1
engine,tnria,3,0.0,0,n,1,1181.1509132385256,18,1
photo,raacem,3,0.0,0,n,1,931.1039447784424,18,1
chocolate,ibcstui,3,0.0,0,n,1,954.779863357544,18,1
insect,lunch,4,0.22,1,y,1,1061.1319541931152,18,1
doctor,eusrn,3,0.0,0,n,1,836.6022109985353,18,1
fruit,ongrae,2,0.0,0,n,1,996.7308044433594,18,1
cloth,paeaplr,3,0.0,0,n,1,1316.6329860687254,18,1
truck,vehicle,1,0.8,1,y,1,980.633020401001,18,1
blood,skirt,4,0.27,1,y,1,915.2631759643556,18,1
cloth,apparel,1,0.71,1,n,0,1330.9769630432131,18,1
office,jelly,4,0.24,1,y,1,1374.5510578155518,18,1
cloth,charger,4,0.33,1,y,1,905.6808948516846,18,1
tongue,muscle,1,0.8,1,y,1,1059.0150356292722,18,1
shirt,ueortrs,3,0.0,0,n,1,884.8919868469237,18,1
engine,skeleton,4,0.12,1,y,1,828.5679817199707,18,1
virus,bottle,4,0.47,1,y,1,868.7031269073486,18,1
shirt,tersuor,2,0.0,0,n,1,828.815221786499,18,1
truck,ilevehc,3,0.0,0,n,1,1067.0218467712402,18,1
chocolate,bcsiiut,2,0.0,0,n,1,874.8750686645508,18,1
shirt,trouser,1,0.9,1,y,1,833.5189819335938,18,1
photo,burger,4,0.42,1,y,1,603.4619808197021,18,1
bread,buettr,2,0.0,0,n,1,874.431848526001,18,1
chocolate,biscuit,1,0.59,1,n,0,777.3900032043457,18,1
tennis,mouse,4,0.09,1,y,1,1213.4480476379395,18,1
tennis,soccer,1,0.75,1,n,0,840.7909870147705,18,1
office,iahcr,3,0.0,0,y,0,959.1729640960692,18,1
guitar,lemon,4,0.36,1,y,1,1526.1259078979492,18,1
tea,cofefe,2,0.0,0,y,0,685.960054397583,18,1
blood,ptaelelt,2,0.0,0,n,1,1080.58500289917,18,1
photo,cmarea,2,0.0,0,n,1,1414.8290157318115,18,1
fruit,orange,1,0.86,1,y,1,1052.6690483093264,18,1
blood,platelet,1,0.53,1,n,0,1228.9879322052002,18,1
hotel,bbloy,3,0.0,0,n,1,1888.714075088501,18,1
guitar,iovlni,3,0.0,0,y,0,1138.2360458374026,18,1
photo,camera,1,0.59,1,n,0,1144.6669101715088,18,1
chocolate,diary,4,0.27,1,0,2,2000.0,18,1
tennis,rsocce,3,0.0,0,n,1,862.252950668335,18,1
cloth,aeprpal,2,0.0,0,n,1,1484.602928161621,18,1
office,chair,1,0.53,1,y,1,1115.1940822601316,18,1
guitar,violin,1,0.86,1,y,1,828.7320137023926,18,1
insect,ttemier,3,0.0,0,n,1,1003.6818981170654,18,1
insect,termite,1,0.95,1,y,1,1132.6279640197756,18,1
hotel,lobby,1,0.71,1,y,1,1299.17311668396,18,1
