word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
cloth,paeaplr,3,0.0,0,n,1,1399.9531269073486,19,6
photo,raacem,3,0.0,0,n,1,1168.5459613800047,19,6
bread,laptop,4,0.2,1,y,1,1125.4820823669434,19,6
hotel,bbloy,3,0.0,0,n,1,790.024995803833,19,6
virus,bacteria,1,0.88,1,y,1,1173.715114593506,19,6
insect,termite,1,0.95,1,y,1,996.0498809814453,19,6
guitar,lemon,4,0.36,1,y,1,685.2009296417236,19,6
tongue,selmuc,3,0.0,0,n,1,1013.3500099182128,19,6
tennis,rsocce,3,0.0,0,n,1,1022.0949649810792,19,6
shirt,ueortrs,3,0.0,0,n,1,877.2540092468263,19,6
cloth,charger,4,0.33,1,y,1,1038.0070209503174,19,6
bread,buettr,2,0.0,0,y,0,660.2771282196045,19,6
office,jelly,4,0.24,1,y,1,705.3351402282715,19,6
fruit,ongrae,2,0.0,0,y,0,637.5298500061035,19,6
doctor,shampoo,4,0.21,1,y,1,993.1089878082277,19,6
guitar,voilin,2,0.0,0,y,0,869.5790767669678,19,6
tea,eceoff,3,0.0,0,n,1,792.6700115203857,19,6
blood,skirt,4,0.27,1,y,1,717.5509929656982,19,6
truck,ilevehc,3,0.0,0,n,1,701.5149593353271,19,6
tea,cofefe,2,0.0,0,y,0,630.3329467773438,19,6
guitar,iovlni,3,0.0,0,n,1,1080.5039405822754,19,6
blood,ptaelelt,2,0.0,0,n,1,1117.0508861541748,19,6
tennis,scocer,2,0.0,0,y,0,724.2310047149658,19,6
insect,ttemier,3,0.0,0,n,1,720.3109264373779,19,6
phone,light,4,0.2,1,y,1,621.8819618225098,19,6
tennis,mouse,4,0.09,1,y,1,1014.024019241333,19,6
cloth,aeprpal,2,0.0,0,n,1,932.5459003448486,19,6
doctor,nurse,1,0.87,1,y,1,685.4510307312013,19,6
phone,rdaio,2,0.0,0,y,0,845.8108901977539,19,6
truck,vclhiee,2,0.0,0,n,1,599.776029586792,19,6
truck,vehicle,1,0.8,1,y,1,580.0979137420653,19,6
engine,tairn,2,0.0,0,y,0,805.4471015930176,19,6
photo,burger,4,0.42,1,y,1,633.3420276641847,19,6
bread,utrtbe,3,0.0,0,n,1,1094.1760540008543,19,6
tongue,muscle,1,0.8,1,y,1,749.9430179595947,19,6
photo,camera,1,0.59,1,y,1,645.6818580627441,19,6
office,iahcr,3,0.0,0,n,1,677.4649620056152,19,6
cloth,apparel,1,0.71,1,y,1,885.6332302093506,19,6
doctor,nruse,2,0.0,0,y,0,637.5029087066649,19,6
shirt,flower,4,0.4,1,y,1,999.6249675750732,19,6
fruit,rneaog,3,0.0,0,n,1,853.2390594482422,19,6
chocolate,bcsiiut,2,0.0,0,n,1,1037.161111831665,19,6
guitar,violin,1,0.86,1,y,1,685.2231025695802,19,6
insect,tmierte,2,0.0,0,n,1,1206.1319351196291,19,6
virus,riatcaeb,3,0.0,0,n,1,1019.4308757781982,19,6
engine,tnria,3,0.0,0,n,1,990.0507926940918,19,6
tongue,pencil,4,0.25,1,y,1,989.4049167633057,19,6
hotel,onion,4,0.44,1,n,0,742.3160076141357,19,6
chocolate,biscuit,1,0.59,1,y,1,848.9489555358888,19,6
shirt,tersuor,2,0.0,0,n,1,643.779993057251,19,6
blood,platelet,1,0.53,1,y,1,741.7151927947998,19,6
bread,butter,1,0.75,1,y,1,781.9411754608154,19,6
phone,adior,3,0.0,0,n,1,973.695993423462,19,6
insect,lunch,4,0.22,1,y,1,685.2540969848633,19,6
chocolate,ibcstui,3,0.0,0,n,1,741.4069175720215,19,6
engine,skeleton,4,0.12,1,n,0,645.6708908081055,19,6
fruit,orange,1,0.86,1,y,1,649.493932723999,19,6
photo,cmarea,2,0.0,0,y,0,649.3940353393555,19,6
office,chair,1,0.53,1,y,1,655.4601192474365,19,6
tea,bicycle,4,0.25,1,y,1,726.0580062866211,19,6
virus,bottle,4,0.47,1,y,1,589.3709659576416,19,6
phone,radio,1,0.63,1,y,1,621.7489242553711,19,6
office,caihr,2,0.0,0,y,0,565.5817985534667,19,6
truck,paper,4,0.24,1,y,1,457.70788192749023,19,6
engine,train,1,0.63,1,y,1,323.3079910278321,19,6
blood,ttllpeae,3,0.0,0,y,0,370.0320720672608,19,6
tea,coffee,1,0.89,1,y,1,671.4730262756348,19,6
hotel,lbboy,2,0.0,0,n,1,770.0469493865967,19,6
chocolate,diary,4,0.27,1,y,1,579.65087890625,19,6
tongue,muslce,2,0.0,0,y,0,770.0920104980469,19,6
doctor,eusrn,3,0.0,0,n,1,655.7741165161133,19,6
tennis,soccer,1,0.75,1,y,1,690.2971267700195,19,6
virus,bieracta,2,0.0,0,y,0,578.5198211669923,19,6
hotel,lobby,1,0.71,1,y,1,1006.1359405517578,19,6
shirt,trouser,1,0.9,1,y,1,987.415075302124,19,6
fruit,airplane,4,0.38,1,y,1,781.2778949737549,19,6
