word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
shirt,trouser,1,0.9,1,y,1,1102.059841156006,18,16
cloth,apparel,1,0.71,1,n,0,1288.504123687744,18,16
phone,radio,1,0.63,1,y,1,1056.9701194763184,18,16
cloth,paeaplr,3,0.0,0,n,1,805.2680492401123,18,16
phone,light,4,0.2,1,y,1,1005.7239532470703,18,16
tennis,scocer,2,0.0,0,n,1,941.673994064331,18,16
phone,rdaio,2,0.0,0,n,1,853.0158996582031,18,16
photo,cmarea,2,0.0,0,n,1,820.6081390380859,18,16
engine,train,1,0.63,1,y,1,758.0320835113525,18,16
insect,termite,1,0.95,1,y,1,917.6738262176514,18,16
blood,ptaelelt,2,0.0,0,n,1,867.0120239257812,18,16
office,caihr,2,0.0,0,n,1,866.4538860321045,18,16
hotel,lobby,1,0.71,1,n,0,746.661901473999,18,16
chocolate,biscuit,1,0.59,1,n,0,1459.434986114502,18,16
blood,platelet,1,0.53,1,y,1,873.4450340270996,18,16
fruit,rneaog,3,0.0,0,n,1,1139.6520137786865,18,16
tongue,muscle,1,0.8,1,y,1,925.424098968506,18,16
engine,skeleton,4,0.12,1,y,1,869.5149421691895,18,16
truck,vehicle,1,0.8,1,y,1,797.4960803985596,18,16
engine,tnria,3,0.0,0,n,1,709.867000579834,18,16
virus,bacteria,1,0.88,1,y,1,821.2881088256836,18,16
insect,ttemier,3,0.0,0,n,1,885.8609199523926,18,16
cloth,charger,4,0.33,1,y,1,1205.17897605896,18,16
guitar,iovlni,3,0.0,0,n,1,813.1418228149414,18,16
doctor,nruse,2,0.0,0,n,1,925.5359172821044,18,16
chocolate,ibcstui,3,0.0,0,n,1,973.2019901275636,18,16
office,chair,1,0.53,1,y,1,861.8249893188478,18,16
tongue,pencil,4,0.25,1,y,1,884.9661350250244,18,16
doctor,nurse,1,0.87,1,y,1,717.5240516662598,18,16
shirt,tersuor,2,0.0,0,n,1,861.6127967834473,18,16
fruit,airplane,4,0.38,1,y,1,1293.3039665222168,18,16
fruit,ongrae,2,0.0,0,y,0,877.3269653320312,18,16
tea,cofefe,2,0.0,0,n,1,1641.4270401000974,18,16
blood,skirt,4,0.27,1,y,1,939.6011829376221,18,16
phone,adior,3,0.0,0,n,1,731.6470146179199,18,16
guitar,voilin,2,0.0,0,y,0,1149.0921974182131,18,16
photo,burger,4,0.42,1,y,1,999.3391036987304,18,16
blood,ttllpeae,3,0.0,0,n,1,861.3719940185547,18,16
photo,raacem,3,0.0,0,n,1,1101.435899734497,18,16
virus,bottle,4,0.47,1,y,1,949.2809772491456,18,16
insect,lunch,4,0.22,1,y,1,1146.9941139221194,18,16
tongue,muslce,2,0.0,0,y,0,754.3048858642578,18,16
shirt,flower,4,0.4,1,y,1,935.3039264678956,18,16
fruit,orange,1,0.86,1,y,1,961.1821174621582,18,16
guitar,lemon,4,0.36,1,y,1,1103.234052658081,18,16
tongue,selmuc,3,0.0,0,n,1,930.5508136749268,18,16
engine,tairn,2,0.0,0,n,1,940.269947052002,18,16
tennis,mouse,4,0.09,1,y,1,940.5581951141356,18,16
office,iahcr,3,0.0,0,n,1,931.1058521270752,18,16
bread,utrtbe,3,0.0,0,n,1,772.4330425262451,18,16
bread,butter,1,0.75,1,y,1,868.1201934814453,18,16
chocolate,bcsiiut,2,0.0,0,n,1,762.6631259918213,18,16
insect,tmierte,2,0.0,0,n,1,932.0878982543944,18,16
truck,ilevehc,3,0.0,0,n,1,923.0961799621582,18,16
hotel,lbboy,2,0.0,0,n,1,721.966028213501,18,16
hotel,bbloy,3,0.0,0,n,1,658.1490039825441,18,16
chocolate,diary,4,0.27,1,y,1,807.4800968170166,18,16
cloth,aeprpal,2,0.0,0,y,0,913.114070892334,18,16
doctor,shampoo,4,0.21,1,y,1,1398.3368873596191,18,16
tea,eceoff,3,0.0,0,n,1,820.7828998565674,18,16
virus,riatcaeb,3,0.0,0,n,1,793.7359809875487,18,16
truck,paper,4,0.24,1,y,1,1089.47491645813,18,16
guitar,violin,1,0.86,1,y,1,947.3111629486084,18,16
bread,buettr,2,0.0,0,n,1,897.1939086914062,18,16
tea,bicycle,4,0.25,1,y,1,922.4457740783693,18,16
office,jelly,4,0.24,1,y,1,962.2910022735596,18,16
tennis,soccer,1,0.75,1,y,1,787.3470783233643,18,16
tennis,rsocce,3,0.0,0,n,1,850.5449295043945,18,16
doctor,eusrn,3,0.0,0,n,1,801.973819732666,18,16
virus,bieracta,2,0.0,0,n,1,947.0620155334473,18,16
hotel,onion,4,0.44,1,y,1,1730.4260730743408,18,16
truck,vclhiee,2,0.0,0,n,1,1075.0460624694824,18,16
tea,coffee,1,0.89,1,y,1,674.9920845031737,18,16
shirt,ueortrs,3,0.0,0,n,1,980.2100658416748,18,16
photo,camera,1,0.59,1,y,1,917.6068305969237,18,16
bread,laptop,4,0.2,1,y,1,972.7070331573486,18,16
