word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
phone,rdaio,2,0.0,0,0,2,2000.0,19,3
bread,laptop,4,0.2,1,n,0,188.57502937316892,19,3
hotel,lobby,1,0.71,1,y,1,1898.1659412384035,19,3
chocolate,biscuit,1,0.59,1,y,1,1540.4140949249268,19,3
truck,ilevehc,3,0.0,0,n,1,1788.0859375,19,3
tea,cofefe,2,0.0,0,y,0,1196.964979171753,19,3
blood,ptaelelt,2,0.0,0,y,0,1883.273124694824,19,3
blood,skirt,4,0.27,1,0,2,2000.0,19,3
guitar,lemon,4,0.36,1,y,1,1086.3568782806396,19,3
fruit,ongrae,2,0.0,0,n,1,1245.0780868530271,19,3
virus,bottle,4,0.47,1,y,1,1267.9719924926758,19,3
engine,tairn,2,0.0,0,n,1,1445.6310272216795,19,3
truck,vehicle,1,0.8,1,y,1,1297.806978225708,19,3
insect,termite,1,0.95,1,y,1,1509.9380016326904,19,3
phone,radio,1,0.63,1,y,1,1097.567081451416,19,3
tennis,scocer,2,0.0,0,n,1,1453.30810546875,19,3
doctor,nruse,2,0.0,0,y,0,1725.3899574279785,19,3
office,iahcr,3,0.0,0,n,1,1049.860954284668,19,3
guitar,iovlni,3,0.0,0,n,1,788.9399528503418,19,3
office,chair,1,0.53,1,y,1,1077.8059959411619,19,3
doctor,nurse,1,0.87,1,n,0,1331.585168838501,19,3
doctor,shampoo,4,0.21,1,y,1,1345.634937286377,19,3
chocolate,ibcstui,3,0.0,0,n,1,946.94185256958,19,3
guitar,voilin,2,0.0,0,y,0,957.1330547332764,19,3
tea,eceoff,3,0.0,0,n,1,1473.832130432129,19,3
blood,ttllpeae,3,0.0,0,n,1,995.729923248291,19,3
phone,light,4,0.2,1,y,1,1885.380983352661,19,3
office,caihr,2,0.0,0,n,1,1403.3300876617432,19,3
doctor,eusrn,3,0.0,0,n,1,828.9780616760254,19,3
engine,train,1,0.63,1,y,1,1061.5720748901367,19,3
shirt,trouser,1,0.9,1,y,1,1357.306957244873,19,3
cloth,apparel,1,0.71,1,n,0,1245.4519271850584,19,3
tennis,rsocce,3,0.0,0,n,1,1224.708080291748,19,3
truck,vclhiee,2,0.0,0,n,1,1973.3879566192627,19,3
phone,adior,3,0.0,0,n,1,1066.4670467376711,19,3
office,jelly,4,0.24,1,y,1,947.329044342041,19,3
chocolate,diary,4,0.27,1,y,1,979.5310497283936,19,3
chocolate,bcsiiut,2,0.0,0,n,1,859.4181537628174,19,3
tennis,soccer,1,0.75,1,y,1,1346.489191055298,19,3
bread,butter,1,0.75,1,y,1,946.425199508667,19,3
insect,tmierte,2,0.0,0,n,1,883.6860656738281,19,3
engine,tnria,3,0.0,0,y,0,1882.5130462646484,19,3
virus,riatcaeb,3,0.0,0,n,1,1994.3809509277344,19,3
fruit,airplane,4,0.38,1,y,1,1123.2249736785886,19,3
shirt,tersuor,2,0.0,0,n,1,1340.9559726715088,19,3
photo,cmarea,2,0.0,0,n,1,1173.3498573303225,19,3
insect,lunch,4,0.22,1,y,1,1013.4708881378174,19,3
bread,utrtbe,3,0.0,0,n,1,1106.4448356628418,19,3
hotel,onion,4,0.44,1,y,1,1093.9619541168213,19,3
insect,ttemier,3,0.0,0,n,1,1347.891092300415,19,3
tongue,muscle,1,0.8,1,y,1,1205.035924911499,19,3
hotel,lbboy,2,0.0,0,n,1,1035.8309745788574,19,3
truck,paper,4,0.24,1,y,1,924.2119789123536,19,3
tongue,selmuc,3,0.0,0,n,1,1269.4480419158936,19,3
fruit,orange,1,0.86,1,y,1,1011.6338729858397,19,3
cloth,charger,4,0.33,1,y,1,1035.7868671417236,19,3
guitar,violin,1,0.86,1,y,1,733.0679893493652,19,3
cloth,aeprpal,2,0.0,0,n,1,947.502851486206,19,3
tea,coffee,1,0.89,1,y,1,1036.9610786437986,19,3
tennis,mouse,4,0.09,1,n,0,1362.0610237121582,19,3
virus,bacteria,1,0.88,1,y,1,1863.0640506744385,19,3
shirt,flower,4,0.4,1,y,1,825.9429931640625,19,3
virus,bieracta,2,0.0,0,n,1,1265.481948852539,19,3
tea,bicycle,4,0.25,1,y,1,1147.90678024292,19,3
blood,platelet,1,0.53,1,y,1,821.537971496582,19,3
photo,raacem,3,0.0,0,n,1,1093.1689739227297,19,3
photo,camera,1,0.59,1,y,1,1565.5109882354736,19,3
shirt,ueortrs,3,0.0,0,n,1,938.101053237915,19,3
cloth,paeaplr,3,0.0,0,n,1,1049.9000549316406,19,3
hotel,bbloy,3,0.0,0,n,1,962.2130393981934,19,3
bread,buettr,2,0.0,0,n,1,849.5211601257324,19,3
engine,skeleton,4,0.12,1,y,1,1049.5119094848633,19,3
fruit,rneaog,3,0.0,0,n,1,1522.1550464630127,19,3
tongue,muslce,2,0.0,0,y,0,1329.7967910766604,19,3
photo,burger,4,0.42,1,0,2,2000.0,19,3
tongue,pencil,4,0.25,1,y,1,1229.9230098724365,19,3
