word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
doctor,eusrn,3,0.0,0,n,1,1294.0449714660645,25,4
tongue,muscle,1,0.8,1,y,1,1863.9769554138184,25,4
phone,light,4,0.2,1,y,1,996.1369037628174,25,4
shirt,flower,4,0.4,1,y,1,780.9760570526123,25,4
office,chair,1,0.53,1,y,1,886.02614402771,25,4
cloth,charger,4,0.33,1,y,1,1477.2059917449951,25,4
office,iahcr,3,0.0,0,n,1,1790.0540828704834,25,4
insect,tmierte,2,0.0,0,n,1,1379.3108463287354,25,4
shirt,trouser,1,0.9,1,y,1,1341.7620658874514,25,4
photo,cmarea,2,0.0,0,y,0,1197.6580619812014,25,4
engine,tnria,3,0.0,0,n,1,1136.3379955291748,25,4
hotel,lobby,1,0.71,1,y,1,1285.8500480651855,25,4
engine,skeleton,4,0.12,1,y,1,1139.3890380859375,25,4
tea,coffee,1,0.89,1,y,1,950.6070613861084,25,4
phone,radio,1,0.63,1,y,1,1173.4681129455564,25,4
blood,ttllpeae,3,0.0,0,n,1,1052.2189140319824,25,4
hotel,onion,4,0.44,1,y,1,716.2301540374756,25,4
tongue,selmuc,3,0.0,0,n,1,924.103021621704,25,4
tea,cofefe,2,0.0,0,y,0,702.4750709533691,25,4
doctor,nruse,2,0.0,0,y,0,1128.8149356842039,25,4
hotel,bbloy,3,0.0,0,n,1,954.270839691162,25,4
chocolate,biscuit,1,0.59,1,y,1,1788.5780334472656,25,4
blood,ptaelelt,2,0.0,0,y,0,1556.0290813446045,25,4
bread,buettr,2,0.0,0,y,0,1127.5959014892578,25,4
guitar,iovlni,3,0.0,0,n,1,881.1130523681641,25,4
fruit,ongrae,2,0.0,0,n,1,1349.412202835083,25,4
phone,adior,3,0.0,0,n,1,1435.5731010437012,25,4
blood,platelet,1,0.53,1,n,0,1685.5061054229736,25,4
bread,butter,1,0.75,1,y,1,1145.5471515655518,25,4
tea,bicycle,4,0.25,1,y,1,956.312894821167,25,4
engine,tairn,2,0.0,0,n,1,1357.9540252685547,25,4
chocolate,ibcstui,3,0.0,0,n,1,1012.2499465942384,25,4
insect,lunch,4,0.22,1,n,0,1069.2341327667236,25,4
hotel,lbboy,2,0.0,0,n,1,1176.1589050292966,25,4
phone,rdaio,2,0.0,0,n,1,1213.5028839111328,25,4
tongue,muslce,2,0.0,0,y,0,860.023021697998,25,4
bread,utrtbe,3,0.0,0,n,1,1209.4109058380127,25,4
tennis,scocer,2,0.0,0,y,0,1509.4878673553467,25,4
photo,burger,4,0.42,1,y,1,1439.2471313476562,25,4
virus,riatcaeb,3,0.0,0,n,1,1109.2169284820557,25,4
tea,eceoff,3,0.0,0,n,1,917.3929691314696,25,4
fruit,airplane,4,0.38,1,y,1,1153.9919376373289,25,4
engine,train,1,0.63,1,y,1,866.2199974060059,25,4
photo,camera,1,0.59,1,y,1,684.5159530639647,25,4
tennis,soccer,1,0.75,1,y,1,1005.3651332855223,25,4
doctor,nurse,1,0.87,1,y,1,771.3730335235596,25,4
virus,bieracta,2,0.0,0,n,1,1259.5129013061526,25,4
blood,skirt,4,0.27,1,y,1,892.2510147094728,25,4
virus,bacteria,1,0.88,1,y,1,689.7308826446533,25,4
tennis,rsocce,3,0.0,0,n,1,817.6958560943604,25,4
truck,ilevehc,3,0.0,0,n,1,851.5398502349854,25,4
bread,laptop,4,0.2,1,y,1,836.0099792480469,25,4
guitar,voilin,2,0.0,0,y,0,842.3449993133545,25,4
guitar,lemon,4,0.36,1,y,1,727.3850440979004,25,4
tongue,pencil,4,0.25,1,y,1,627.3288726806642,25,4
fruit,orange,1,0.86,1,y,1,629.1491985321045,25,4
guitar,violin,1,0.86,1,y,1,629.1549205780028,25,4
fruit,rneaog,3,0.0,0,n,1,797.2581386566162,25,4
chocolate,diary,4,0.27,1,y,1,635.0300312042236,25,4
chocolate,bcsiiut,2,0.0,0,n,1,651.9250869750978,25,4
insect,termite,1,0.95,1,y,1,618.243932723999,25,4
truck,paper,4,0.24,1,y,1,626.3718605041504,25,4
cloth,paeaplr,3,0.0,0,n,1,820.1801776885986,25,4
shirt,ueortrs,3,0.0,0,n,1,797.7991104125978,25,4
shirt,tersuor,2,0.0,0,n,1,813.1711483001709,25,4
virus,bottle,4,0.47,1,y,1,893.319845199585,25,4
tennis,mouse,4,0.09,1,y,1,685.7430934906007,25,4
truck,vehicle,1,0.8,1,y,1,772.68385887146,25,4
photo,raacem,3,0.0,0,n,1,685.6129169464111,25,4
truck,vclhiee,2,0.0,0,n,1,805.3290843963623,25,4
office,jelly,4,0.24,1,y,1,893.8300609588623,25,4
office,caihr,2,0.0,0,n,1,693.6380863189697,25,4
doctor,shampoo,4,0.21,1,y,1,668.4861183166504,25,4
insect,ttemier,3,0.0,0,n,1,709.7458839416504,25,4
cloth,apparel,1,0.71,1,n,0,929.3601512908936,25,4
cloth,aeprpal,2,0.0,0,y,0,1048.6478805541992,25,4
