word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
office,jelly,4,0.24,1,0,2,2000.0,20,8
tongue,muslce,2,0.0,0,y,0,922.4929809570312,20,8
doctor,nruse,2,0.0,0,0,2,2000.0,20,8
office,chair,1,0.53,1,n,0,73.91285896301271,20,8
tongue,selmuc,3,0.0,0,0,2,2000.0,20,8
office,iahcr,3,0.0,0,0,2,2000.0,20,8
bread,laptop,4,0.2,1,y,1,1869.1859245300293,20,8
fruit,orange,1,0.86,1,0,2,2000.0,20,8
tennis,rsocce,3,0.0,0,n,1,1525.979995727539,20,8
tea,coffee,1,0.89,1,y,1,1229.5911312103274,20,8
hotel,onion,4,0.44,1,y,1,1427.2079467773438,20,8
fruit,ongrae,2,0.0,0,n,1,1307.7609539031982,20,8
bread,butter,1,0.75,1,y,1,1139.0609741210938,20,8
chocolate,diary,4,0.27,1,y,1,1427.8199672698975,20,8
doctor,eusrn,3,0.0,0,n,1,1242.3529624938965,20,8
cloth,apparel,1,0.71,1,y,1,1402.4169445037842,20,8
office,caihr,2,0.0,0,n,1,1235.1090908050535,20,8
photo,cmarea,2,0.0,0,n,1,1452.4850845336914,20,8
tea,bicycle,4,0.25,1,y,1,1259.4151496887207,20,8
phone,radio,1,0.63,1,y,1,1106.6389083862302,20,8
shirt,trouser,1,0.9,1,y,1,1201.3671398162842,20,8
photo,burger,4,0.42,1,y,1,1185.1921081542966,20,8
phone,light,4,0.2,1,y,1,1056.8881034851074,20,8
virus,bieracta,2,0.0,0,n,1,1292.1428680419922,20,8
photo,raacem,3,0.0,0,n,1,1225.5380153656004,20,8
cloth,aeprpal,2,0.0,0,n,1,1468.4419631958008,20,8
engine,train,1,0.63,1,y,1,1441.3371086120605,20,8
bread,utrtbe,3,0.0,0,n,1,1372.9729652404785,20,8
virus,bacteria,1,0.88,1,y,1,1378.5459995269775,20,8
blood,skirt,4,0.27,1,y,1,1691.7219161987305,20,8
tongue,muscle,1,0.8,1,y,1,1276.3910293579104,20,8
phone,rdaio,2,0.0,0,n,1,1468.707799911499,20,8
guitar,lemon,4,0.36,1,y,1,1511.6610527038574,20,8
tea,eceoff,3,0.0,0,n,1,1051.7420768737793,20,8
hotel,bbloy,3,0.0,0,n,1,1227.2181510925293,20,8
tennis,mouse,4,0.09,1,n,0,1124.5851516723633,20,8
shirt,flower,4,0.4,1,y,1,1400.367021560669,20,8
engine,tnria,3,0.0,0,n,1,1331.3891887664795,20,8
doctor,shampoo,4,0.21,1,y,1,1530.668020248413,20,8
tongue,pencil,4,0.25,1,0,2,2000.0,20,8
insect,termite,1,0.95,1,y,1,99.69782829284668,20,8
fruit,airplane,4,0.38,1,y,1,1572.732925415039,20,8
tennis,scocer,2,0.0,0,y,0,745.2881336212158,20,8
bread,buettr,2,0.0,0,n,1,1758.7800025939941,20,8
shirt,tersuor,2,0.0,0,n,1,1313.391923904419,20,8
blood,ttllpeae,3,0.0,0,n,1,865.8270835876465,20,8
blood,ptaelelt,2,0.0,0,n,1,865.3709888458252,20,8
hotel,lobby,1,0.71,1,y,1,1049.9629974365234,20,8
blood,platelet,1,0.53,1,y,1,1389.301061630249,20,8
insect,ttemier,3,0.0,0,n,1,1164.8709774017336,20,8
doctor,nurse,1,0.87,1,y,1,1012.9470825195312,20,8
virus,riatcaeb,3,0.0,0,n,1,1148.616075515747,20,8
phone,adior,3,0.0,0,n,1,1172.4050045013428,20,8
virus,bottle,4,0.47,1,y,1,1085.1080417633057,20,8
guitar,iovlni,3,0.0,0,n,1,1484.0760231018066,20,8
truck,ilevehc,3,0.0,0,n,1,1011.2040042877196,20,8
shirt,ueortrs,3,0.0,0,n,1,833.4360122680664,20,8
truck,vehicle,1,0.8,1,y,1,1121.4439868927002,20,8
guitar,voilin,2,0.0,0,y,0,1241.0140037536619,20,8
tea,cofefe,2,0.0,0,y,0,680.4220676422118,20,8
chocolate,biscuit,1,0.59,1,y,1,790.7619476318359,20,8
insect,lunch,4,0.22,1,n,0,1213.84596824646,20,8
hotel,lbboy,2,0.0,0,n,1,1160.742998123169,20,8
chocolate,bcsiiut,2,0.0,0,n,1,872.920036315918,20,8
truck,paper,4,0.24,1,y,1,1257.67183303833,20,8
photo,camera,1,0.59,1,y,1,1009.9601745605468,20,8
insect,tmierte,2,0.0,0,n,1,1420.0339317321775,20,8
guitar,violin,1,0.86,1,y,1,1827.0950317382806,20,8
engine,skeleton,4,0.12,1,y,1,1848.6640453338625,20,8
cloth,charger,4,0.33,1,y,1,1617.1081066131592,20,8
fruit,rneaog,3,0.0,0,n,1,1858.459949493408,20,8
cloth,paeaplr,3,0.0,0,n,1,1042.9961681365967,20,8
engine,tairn,2,0.0,0,n,1,1157.2461128234866,20,8
truck,vclhiee,2,0.0,0,n,1,1115.1089668273926,20,8
tennis,soccer,1,0.75,1,y,1,1156.9948196411133,20,8
chocolate,ibcstui,3,0.0,0,n,1,1242.5379753112793,20,8
