word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
doctor,nurse,1,0.87,1,y,1,1069.9858665466306,21,9
virus,riatcaeb,3,0.0,0,n,1,1150.4650115966795,21,9
bread,utrtbe,3,0.0,0,n,1,1964.1928672790527,21,9
fruit,ongrae,2,0.0,0,y,0,1041.9151782989502,21,9
phone,radio,1,0.63,1,y,1,1001.6100406646727,21,9
insect,termite,1,0.95,1,y,1,1357.7840328216553,21,9
cloth,apparel,1,0.71,1,y,1,1691.8141841888428,21,9
phone,adior,3,0.0,0,y,0,1893.2371139526367,21,9
virus,bacteria,1,0.88,1,y,1,1623.542070388794,21,9
virus,bieracta,2,0.0,0,n,1,1299.915075302124,21,9
tongue,muslce,2,0.0,0,n,1,1493.3080673217773,21,9
truck,vclhiee,2,0.0,0,n,1,1363.908052444458,21,9
doctor,nruse,2,0.0,0,n,1,1876.2948513031008,21,9
tea,coffee,1,0.89,1,y,1,798.3798980712891,21,9
chocolate,ibcstui,3,0.0,0,n,1,1389.0678882598875,21,9
bread,buettr,2,0.0,0,0,2,2000.0,21,9
blood,skirt,4,0.27,1,y,1,1064.1500949859621,21,9
shirt,ueortrs,3,0.0,0,n,1,877.4001598358154,21,9
office,jelly,4,0.24,1,y,1,1013.6911869049072,21,9
fruit,rneaog,3,0.0,0,y,0,1133.357048034668,21,9
photo,raacem,3,0.0,0,0,2,2000.0,21,9
engine,train,1,0.63,1,y,1,1428.2898902893066,21,9
engine,tairn,2,0.0,0,0,2,2000.0,21,9
hotel,lbboy,2,0.0,0,n,1,32.5620174407959,21,9
photo,burger,4,0.42,1,y,1,1020.8020210266112,21,9
chocolate,diary,4,0.27,1,y,1,955.3120136260986,21,9
fruit,airplane,4,0.38,1,y,1,1122.9920387268066,21,9
tea,bicycle,4,0.25,1,y,1,1218.6219692230225,21,9
insect,lunch,4,0.22,1,y,1,1338.2558822631834,21,9
insect,tmierte,2,0.0,0,n,1,978.1608581542968,21,9
doctor,shampoo,4,0.21,1,y,1,970.1709747314453,21,9
tongue,muscle,1,0.8,1,n,0,1163.5298728942869,21,9
phone,light,4,0.2,1,y,1,864.6590709686279,21,9
truck,paper,4,0.24,1,y,1,882.1392059326172,21,9
fruit,orange,1,0.86,1,y,1,913.4581089019777,21,9
blood,platelet,1,0.53,1,y,1,1746.5441226959229,21,9
chocolate,biscuit,1,0.59,1,y,1,1307.2149753570554,21,9
guitar,voilin,2,0.0,0,n,1,1410.5761051177979,21,9
cloth,paeaplr,3,0.0,0,n,1,1829.6000957489014,21,9
tennis,mouse,4,0.09,1,y,1,1043.5469150543213,21,9
chocolate,bcsiiut,2,0.0,0,n,1,1053.0190467834473,21,9
photo,camera,1,0.59,1,y,1,643.963098526001,21,9
tea,cofefe,2,0.0,0,y,0,718.3189392089844,21,9
office,caihr,2,0.0,0,n,1,1033.2019329071043,21,9
engine,skeleton,4,0.12,1,y,1,1507.5299739837646,21,9
hotel,bbloy,3,0.0,0,n,1,1376.0910034179688,21,9
tennis,scocer,2,0.0,0,y,0,981.757879257202,21,9
shirt,flower,4,0.4,1,y,1,1152.9948711395266,21,9
hotel,onion,4,0.44,1,y,1,1461.6689682006836,21,9
truck,ilevehc,3,0.0,0,n,1,1109.246015548706,21,9
bread,laptop,4,0.2,1,y,1,1205.6241035461424,21,9
hotel,lobby,1,0.71,1,n,0,1421.6430187225342,21,9
office,iahcr,3,0.0,0,n,1,1840.9349918365479,21,9
office,chair,1,0.53,1,y,1,803.961992263794,21,9
virus,bottle,4,0.47,1,y,1,1453.0448913574219,21,9
phone,rdaio,2,0.0,0,y,0,1565.526008605957,21,9
tennis,soccer,1,0.75,1,0,2,2000.0,21,9
engine,tnria,3,0.0,0,y,0,71.14315032958984,21,9
shirt,tersuor,2,0.0,0,y,0,1551.6571998596191,21,9
tongue,pencil,4,0.25,1,y,1,1241.081953048706,21,9
blood,ptaelelt,2,0.0,0,n,1,1389.5139694213867,21,9
truck,vehicle,1,0.8,1,y,1,725.0030040740967,21,9
doctor,eusrn,3,0.0,0,n,1,1501.4090538024902,21,9
shirt,trouser,1,0.9,1,y,1,1389.6501064300535,21,9
blood,ttllpeae,3,0.0,0,n,1,1219.96808052063,21,9
tongue,selmuc,3,0.0,0,n,1,1109.0860366821291,21,9
guitar,iovlni,3,0.0,0,n,1,1444.9570178985596,21,9
cloth,aeprpal,2,0.0,0,y,0,1045.5029010772703,21,9
insect,ttemier,3,0.0,0,n,1,1329.7109603881834,21,9
cloth,charger,4,0.33,1,y,1,853.6341190338135,21,9
tennis,rsocce,3,0.0,0,n,1,981.7278385162354,21,9
tea,eceoff,3,0.0,0,n,1,1229.787826538086,21,9
guitar,lemon,4,0.36,1,y,1,963.5109901428224,21,9
guitar,violin,1,0.86,1,y,1,1277.1189212799072,21,9
bread,butter,1,0.75,1,y,1,869.7760105133058,21,9
photo,cmarea,2,0.0,0,n,1,1069.3340301513672,21,9
