word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
photo,burger,4,0.42,1,y,1,1247.5998401641846,20,11
hotel,onion,4,0.44,1,y,1,1776.515007019043,20,11
fruit,rneaog,3,0.0,0,n,1,1309.0178966522215,20,11
tongue,pencil,4,0.25,1,y,1,1020.8511352539062,20,11
tea,eceoff,3,0.0,0,n,1,957.1309089660643,20,11
insect,termite,1,0.95,1,y,1,1197.5409984588625,20,11
phone,radio,1,0.63,1,y,1,1048.8419532775881,20,11
virus,riatcaeb,3,0.0,0,n,1,1129.49800491333,20,11
office,chair,1,0.53,1,y,1,978.8460731506348,20,11
tennis,scocer,2,0.0,0,y,0,1002.5460720062256,20,11
phone,light,4,0.2,1,y,1,1047.1279621124268,20,11
tennis,rsocce,3,0.0,0,n,1,1058.4168434143066,20,11
truck,ilevehc,3,0.0,0,y,0,969.4030284881592,20,11
blood,ptaelelt,2,0.0,0,0,2,2000.0,20,11
guitar,lemon,4,0.36,1,y,1,995.4559803009033,20,11
bread,butter,1,0.75,1,y,1,709.6009254455566,20,11
shirt,trouser,1,0.9,1,y,1,899.968147277832,20,11
tennis,mouse,4,0.09,1,y,1,637.9451751708983,20,11
hotel,lobby,1,0.71,1,y,1,757.9939365386963,20,11
tongue,muscle,1,0.8,1,y,1,1013.2429599761964,20,11
guitar,voilin,2,0.0,0,y,0,884.8450183868408,20,11
doctor,nurse,1,0.87,1,y,1,697.1089839935303,20,11
shirt,flower,4,0.4,1,y,1,677.1688461303711,20,11
engine,skeleton,4,0.12,1,y,1,965.3749465942384,20,11
blood,platelet,1,0.53,1,y,1,773.6601829528809,20,11
doctor,shampoo,4,0.21,1,y,1,788.5751724243164,20,11
engine,tnria,3,0.0,0,n,1,965.8660888671876,20,11
truck,paper,4,0.24,1,y,1,947.5588798522948,20,11
doctor,nruse,2,0.0,0,n,1,1499.7129440307615,20,11
hotel,lbboy,2,0.0,0,y,0,1365.9489154815676,20,11
shirt,ueortrs,3,0.0,0,n,1,1142.6279544830322,20,11
bread,laptop,4,0.2,1,y,1,885.4761123657228,20,11
insect,tmierte,2,0.0,0,n,1,1405.656099319458,20,11
truck,vehicle,1,0.8,1,y,1,955.7180404663086,20,11
shirt,tersuor,2,0.0,0,n,1,1165.048122406006,20,11
tongue,selmuc,3,0.0,0,y,0,845.15380859375,20,11
phone,rdaio,2,0.0,0,y,0,1217.4639701843264,20,11
fruit,orange,1,0.86,1,y,1,1041.4628982543943,20,11
chocolate,biscuit,1,0.59,1,y,1,996.5238571166992,20,11
tea,bicycle,4,0.25,1,y,1,757.9360008239746,20,11
insect,ttemier,3,0.0,0,n,1,1077.7289867401123,20,11
guitar,iovlni,3,0.0,0,n,1,1213.3738994598386,20,11
cloth,paeaplr,3,0.0,0,n,1,893.563985824585,20,11
photo,raacem,3,0.0,0,y,0,893.1009769439697,20,11
office,caihr,2,0.0,0,n,1,1993.8709735870361,20,11
photo,cmarea,2,0.0,0,n,1,1099.9610424041748,20,11
insect,lunch,4,0.22,1,n,0,987.6768589019777,20,11
virus,bacteria,1,0.88,1,y,1,1097.113847732544,20,11
cloth,charger,4,0.33,1,y,1,1420.6149578094482,20,11
fruit,airplane,4,0.38,1,y,1,896.636962890625,20,11
virus,bieracta,2,0.0,0,n,1,978.8620471954346,20,11
tennis,soccer,1,0.75,1,y,1,745.244026184082,20,11
tea,cofefe,2,0.0,0,y,0,842.2770500183105,20,11
bread,utrtbe,3,0.0,0,n,1,1255.6679248809814,20,11
bread,buettr,2,0.0,0,n,1,1365.792989730835,20,11
virus,bottle,4,0.47,1,y,1,1341.2339687347412,20,11
doctor,eusrn,3,0.0,0,n,1,938.035011291504,20,11
phone,adior,3,0.0,0,n,1,939.9628639221193,20,11
tongue,muslce,2,0.0,0,y,0,1153.9368629455564,20,11
cloth,apparel,1,0.71,1,y,1,1032.0100784301758,20,11
office,iahcr,3,0.0,0,n,1,924.001932144165,20,11
engine,train,1,0.63,1,y,1,829.4548988342285,20,11
cloth,aeprpal,2,0.0,0,y,0,733.4189414978027,20,11
fruit,ongrae,2,0.0,0,n,1,1656.6340923309326,20,11
engine,tairn,2,0.0,0,n,1,1620.7051277160645,20,11
chocolate,bcsiiut,2,0.0,0,y,0,908.7820053100586,20,11
guitar,violin,1,0.86,1,y,1,745.3339099884033,20,11
truck,vclhiee,2,0.0,0,n,1,813.2600784301758,20,11
blood,ttllpeae,3,0.0,0,y,0,1156.9972038269045,20,11
tea,coffee,1,0.89,1,y,1,1400.439977645874,20,11
photo,camera,1,0.59,1,y,1,909.6920490264893,20,11
chocolate,diary,4,0.27,1,y,1,765.0611400604248,20,11
hotel,bbloy,3,0.0,0,n,1,804.3320178985596,20,11
office,jelly,4,0.24,1,y,1,845.5522060394287,20,11
chocolate,ibcstui,3,0.0,0,n,1,851.0079383850098,20,11
blood,skirt,4,0.27,1,y,1,785.0840091705322,20,11
