word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
office,chair,1,0.53,1,y,1,1559.7190856933594,24,13
hotel,onion,4,0.44,1,y,1,1358.5660457611086,24,13
tongue,muslce,2,0.0,0,y,0,1059.9498748779297,24,13
doctor,eusrn,3,0.0,0,n,1,1135.1099014282229,24,13
engine,tairn,2,0.0,0,0,2,2000.0,24,13
insect,termite,1,0.95,1,y,1,1278.4998416900635,24,13
insect,tmierte,2,0.0,0,y,0,821.5460777282715,24,13
fruit,rneaog,3,0.0,0,n,1,1224.695920944214,24,13
office,iahcr,3,0.0,0,n,1,1321.9470977783205,24,13
photo,camera,1,0.59,1,y,1,827.916145324707,24,13
bread,utrtbe,3,0.0,0,n,1,1314.2549991607664,24,13
bread,butter,1,0.75,1,y,1,1098.3128547668455,24,13
tea,cofefe,2,0.0,0,y,0,730.6909561157228,24,13
tennis,rsocce,3,0.0,0,n,1,1023.9548683166504,24,13
engine,skeleton,4,0.12,1,y,1,955.5349349975586,24,13
guitar,lemon,4,0.36,1,n,0,1291.2290096282961,24,13
cloth,apparel,1,0.71,1,y,1,1238.170146942139,24,13
bread,laptop,4,0.2,1,y,1,845.2451229095459,24,13
fruit,ongrae,2,0.0,0,n,1,1300.9538650512695,24,13
engine,tnria,3,0.0,0,n,1,1301.487922668457,24,13
engine,train,1,0.63,1,y,1,1069.4639682769778,24,13
fruit,airplane,4,0.38,1,y,1,1012.822151184082,24,13
insect,lunch,4,0.22,1,y,1,813.4109973907471,24,13
insect,ttemier,3,0.0,0,n,1,989.3200397491456,24,13
chocolate,diary,4,0.27,1,y,1,900.4311561584473,24,13
guitar,iovlni,3,0.0,0,n,1,831.2180042266846,24,13
cloth,charger,4,0.33,1,y,1,979.6791076660156,24,13
blood,ptaelelt,2,0.0,0,n,1,1331.536054611206,24,13
tea,coffee,1,0.89,1,y,1,869.5759773254395,24,13
cloth,paeaplr,3,0.0,0,y,0,1225.567102432251,24,13
blood,ttllpeae,3,0.0,0,n,1,1705.061912536621,24,13
chocolate,biscuit,1,0.59,1,y,1,1361.6659641265871,24,13
doctor,nurse,1,0.87,1,y,1,1259.7179412841795,24,13
phone,adior,3,0.0,0,n,1,957.3090076446533,24,13
shirt,trouser,1,0.9,1,y,1,1034.0280532836914,24,13
guitar,violin,1,0.86,1,y,1,1521.8169689178467,24,13
tea,bicycle,4,0.25,1,y,1,900.871992111206,24,13
blood,platelet,1,0.53,1,0,2,2000.0,24,13
truck,vehicle,1,0.8,1,n,0,1094.3200588226316,24,13
cloth,aeprpal,2,0.0,0,y,0,1529.0749073028564,24,13
tea,eceoff,3,0.0,0,n,1,1282.1190357208252,24,13
tongue,pencil,4,0.25,1,y,1,1603.5139560699465,24,13
photo,raacem,3,0.0,0,y,0,1481.7659854888916,24,13
office,caihr,2,0.0,0,y,0,1449.8469829559326,24,13
virus,bottle,4,0.47,1,y,1,1199.4850635528564,24,13
doctor,shampoo,4,0.21,1,y,1,869.2049980163574,24,13
blood,skirt,4,0.27,1,y,1,1093.3060646057131,24,13
photo,cmarea,2,0.0,0,n,1,945.3058242797853,24,13
virus,bieracta,2,0.0,0,n,1,1043.4601306915283,24,13
tennis,scocer,2,0.0,0,n,1,1954.786777496338,24,13
phone,radio,1,0.63,1,y,1,897.5977897644043,24,13
bread,buettr,2,0.0,0,n,1,1418.2500839233398,24,13
fruit,orange,1,0.86,1,y,1,1379.150152206421,24,13
tongue,muscle,1,0.8,1,y,1,1187.2949600219729,24,13
doctor,nruse,2,0.0,0,n,1,1002.3820400238036,24,13
tennis,soccer,1,0.75,1,y,1,1058.3600997924802,24,13
office,jelly,4,0.24,1,y,1,1634.253978729248,24,13
virus,riatcaeb,3,0.0,0,n,1,906.0440063476562,24,13
shirt,ueortrs,3,0.0,0,n,1,1049.7870445251463,24,13
shirt,tersuor,2,0.0,0,n,1,1394.1869735717773,24,13
hotel,lbboy,2,0.0,0,n,1,1546.576976776123,24,13
guitar,voilin,2,0.0,0,y,0,1557.0640563964844,24,13
chocolate,bcsiiut,2,0.0,0,n,1,1814.7859573364256,24,13
photo,burger,4,0.42,1,y,1,1021.0490226745604,24,13
chocolate,ibcstui,3,0.0,0,n,1,1034.2268943786619,24,13
phone,light,4,0.2,1,y,1,1634.3519687652588,24,13
shirt,flower,4,0.4,1,y,1,1553.9600849151611,24,13
truck,vclhiee,2,0.0,0,n,1,865.3130531311035,24,13
virus,bacteria,1,0.88,1,y,1,961.4310264587402,24,13
hotel,bbloy,3,0.0,0,n,1,874.2291927337646,24,13
phone,rdaio,2,0.0,0,n,1,1123.072862625122,24,13
truck,paper,4,0.24,1,y,1,1044.8250770568848,24,13
hotel,lobby,1,0.71,1,y,1,1417.330026626587,24,13
tongue,selmuc,3,0.0,0,n,1,1227.4820804595947,24,13
tennis,mouse,4,0.09,1,y,1,869.2750930786133,24,13
truck,ilevehc,3,0.0,0,n,1,970.6978797912598,24,13
