word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
truck,vclhiee,2,0.0,0,0,2,2000.0,22,2
engine,train,1,0.63,1,n,0,1026.4320373535156,22,2
tennis,rsocce,3,0.0,0,n,1,1991.157054901123,22,2
guitar,voilin,2,0.0,0,0,2,2000.0,22,2
tea,coffee,1,0.89,1,y,1,181.74004554748532,22,2
tennis,soccer,1,0.75,1,y,1,1621.3548183441162,22,2
shirt,tersuor,2,0.0,0,0,2,2000.0,22,2
tongue,muslce,2,0.0,0,y,0,1630.2330493927002,22,2
tea,bicycle,4,0.25,1,y,1,1009.7601413726808,22,2
shirt,trouser,1,0.9,1,y,1,1165.0488376617434,22,2
office,jelly,4,0.24,1,y,1,1052.3231029510498,22,2
truck,ilevehc,3,0.0,0,n,1,1028.7649631500244,22,2
chocolate,ibcstui,3,0.0,0,n,1,947.3052024841307,22,2
truck,paper,4,0.24,1,y,1,910.2561473846436,22,2
bread,utrtbe,3,0.0,0,y,0,1232.7520847320554,22,2
blood,ptaelelt,2,0.0,0,y,0,1489.2058372497559,22,2
bread,buettr,2,0.0,0,y,0,1111.968994140625,22,2
truck,vehicle,1,0.8,1,y,1,1353.0371189117434,22,2
chocolate,diary,4,0.27,1,y,1,1044.5959568023684,22,2
engine,tairn,2,0.0,0,n,1,1052.5379180908203,22,2
photo,burger,4,0.42,1,y,1,1388.9310359954834,22,2
bread,butter,1,0.75,1,y,1,1203.4239768981936,22,2
virus,riatcaeb,3,0.0,0,n,1,909.3830585479736,22,2
virus,bacteria,1,0.88,1,y,1,1285.1500511169436,22,2
bread,laptop,4,0.2,1,y,1,1377.4049282073975,22,2
doctor,nurse,1,0.87,1,y,1,1205.2831649780271,22,2
virus,bieracta,2,0.0,0,n,1,1316.920042037964,22,2
phone,rdaio,2,0.0,0,n,1,1388.5481357574465,22,2
tongue,selmuc,3,0.0,0,n,1,1847.0449447631838,22,2
engine,tnria,3,0.0,0,n,1,1154.6790599822998,22,2
chocolate,bcsiiut,2,0.0,0,n,1,1329.6258449554446,22,2
hotel,bbloy,3,0.0,0,n,1,1195.1160430908205,22,2
photo,raacem,3,0.0,0,n,1,1284.8360538482664,22,2
phone,adior,3,0.0,0,n,1,1539.4909381866455,22,2
tennis,scocer,2,0.0,0,y,0,1476.9189357757568,22,2
engine,skeleton,4,0.12,1,y,1,1665.282964706421,22,2
fruit,rneaog,3,0.0,0,y,0,1337.7549648284912,22,2
blood,skirt,4,0.27,1,y,1,1752.277135848999,22,2
guitar,lemon,4,0.36,1,y,1,1377.1800994873047,22,2
virus,bottle,4,0.47,1,y,1,1013.0038261413574,22,2
photo,cmarea,2,0.0,0,n,1,1081.9189548492434,22,2
phone,radio,1,0.63,1,0,2,2000.0,22,2
office,caihr,2,0.0,0,y,0,1234.8020076751711,22,2
insect,ttemier,3,0.0,0,y,0,1711.609125137329,22,2
guitar,violin,1,0.86,1,y,1,1840.2600288391116,22,2
blood,platelet,1,0.53,1,n,0,1722.5258350372314,22,2
office,iahcr,3,0.0,0,n,1,1447.3578929901125,22,2
insect,termite,1,0.95,1,y,1,1631.8018436431885,22,2
cloth,aeprpal,2,0.0,0,n,1,1049.6208667755127,22,2
tongue,muscle,1,0.8,1,y,1,1384.876012802124,22,2
chocolate,biscuit,1,0.59,1,y,1,1208.5700035095215,22,2
cloth,charger,4,0.33,1,y,1,1537.4481678009033,22,2
shirt,ueortrs,3,0.0,0,n,1,1145.5838680267336,22,2
guitar,iovlni,3,0.0,0,n,1,1585.4930877685547,22,2
tennis,mouse,4,0.09,1,y,1,1695.957899093628,22,2
photo,camera,1,0.59,1,y,1,1144.5178985595705,22,2
doctor,shampoo,4,0.21,1,y,1,1313.838005065918,22,2
fruit,orange,1,0.86,1,y,1,1144.968032836914,22,2
fruit,ongrae,2,0.0,0,n,1,1411.1580848693848,22,2
insect,lunch,4,0.22,1,y,1,1681.3161373138428,22,2
hotel,onion,4,0.44,1,n,0,1097.6569652557373,22,2
fruit,airplane,4,0.38,1,y,1,1871.443033218384,22,2
office,chair,1,0.53,1,y,1,1410.0890159606934,22,2
hotel,lbboy,2,0.0,0,0,2,2000.0,22,2
shirt,flower,4,0.4,1,y,1,1501.4560222625732,22,2
tongue,pencil,4,0.25,1,y,1,1253.3698081970215,22,2
insect,tmierte,2,0.0,0,y,0,1645.1430320739746,22,2
hotel,lobby,1,0.71,1,y,1,1481.0049533843994,22,2
doctor,eusrn,3,0.0,0,n,1,1545.989990234375,22,2
tea,cofefe,2,0.0,0,y,0,1473.7699031829834,22,2
blood,ttllpeae,3,0.0,0,n,1,1383.7578296661375,22,2
phone,light,4,0.2,1,0,2,2000.0,22,2
cloth,apparel,1,0.71,1,y,1,1413.5150909423828,22,2
tea,eceoff,3,0.0,0,n,1,1524.2280960083008,22,2
cloth,paeaplr,3,0.0,0,n,1,1105.5638790130618,22,2
doctor,nruse,2,0.0,0,y,0,1514.2769813537598,22,2
