word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
tea,bicycle,4,0.25,1,y,1,1942.1961307525635,18,7
virus,riatcaeb,3,0.0,0,0,2,2000.0,18,7
blood,platelet,1,0.53,1,0,2,2000.0,18,7
engine,skeleton,4,0.12,1,y,1,210.77799797058103,18,7
fruit,ongrae,2,0.0,0,0,2,2000.0,18,7
shirt,tersuor,2,0.0,0,n,1,383.1238746643066,18,7
virus,bottle,4,0.47,1,y,1,1217.6949977874754,18,7
tongue,selmuc,3,0.0,0,n,1,1195.645809173584,18,7
office,chair,1,0.53,1,y,1,1243.7269687652588,18,7
bread,utrtbe,3,0.0,0,n,1,1517.7109241485596,18,7
shirt,flower,4,0.4,1,y,1,1107.3341369628906,18,7
chocolate,diary,4,0.27,1,y,1,1755.5689811706545,18,7
photo,raacem,3,0.0,0,n,1,1500.1530647277832,18,7
shirt,ueortrs,3,0.0,0,n,1,1476.1409759521484,18,7
tea,eceoff,3,0.0,0,n,1,1502.1100044250488,18,7
insect,ttemier,3,0.0,0,n,1,1348.40989112854,18,7
engine,train,1,0.63,1,y,1,1578.1209468841553,18,7
virus,bieracta,2,0.0,0,n,1,1370.0449466705322,18,7
bread,buettr,2,0.0,0,n,1,1861.6120815277102,18,7
chocolate,bcsiiut,2,0.0,0,n,1,1477.283000946045,18,7
doctor,nurse,1,0.87,1,y,1,1004.086971282959,18,7
virus,bacteria,1,0.88,1,y,1,1306.9510459899902,18,7
shirt,trouser,1,0.9,1,y,1,1177.973031997681,18,7
tea,cofefe,2,0.0,0,y,0,771.1260318756104,18,7
bread,butter,1,0.75,1,y,1,997.0591068267822,18,7
phone,rdaio,2,0.0,0,n,1,1985.7311248779295,18,7
photo,burger,4,0.42,1,y,1,1267.4379348754885,18,7
office,caihr,2,0.0,0,n,1,1709.9401950836182,18,7
truck,ilevehc,3,0.0,0,n,1,939.8019313812256,18,7
engine,tairn,2,0.0,0,n,1,1172.09792137146,18,7
doctor,nruse,2,0.0,0,y,0,917.5329208374023,18,7
insect,termite,1,0.95,1,n,0,1513.8459205627441,18,7
phone,radio,1,0.63,1,y,1,1593.7831401824951,18,7
hotel,lbboy,2,0.0,0,n,1,1060.4259967803957,18,7
office,jelly,4,0.24,1,y,1,1373.5427856445312,18,7
fruit,rneaog,3,0.0,0,n,1,1441.7369365692139,18,7
guitar,iovlni,3,0.0,0,n,1,1243.6521053314211,18,7
hotel,onion,4,0.44,1,n,0,909.8100662231444,18,7
tongue,muslce,2,0.0,0,n,1,1169.2228317260742,18,7
cloth,aeprpal,2,0.0,0,n,1,1077.0151615142822,18,7
photo,camera,1,0.59,1,y,1,1499.3541240692139,18,7
office,iahcr,3,0.0,0,n,1,1132.2808265686035,18,7
doctor,shampoo,4,0.21,1,y,1,996.1140155792236,18,7
chocolate,ibcstui,3,0.0,0,n,1,1067.3658847808838,18,7
bread,laptop,4,0.2,1,y,1,1009.4318389892578,18,7
guitar,voilin,2,0.0,0,n,1,1193.5901641845705,18,7
tennis,rsocce,3,0.0,0,0,2,2000.0,18,7
cloth,paeaplr,3,0.0,0,n,1,335.97302436828613,18,7
tongue,muscle,1,0.8,1,y,1,1401.144027709961,18,7
fruit,airplane,4,0.38,1,y,1,1329.7741413116455,18,7
hotel,lobby,1,0.71,1,y,1,1170.828104019165,18,7
tongue,pencil,4,0.25,1,y,1,1613.1820678710938,18,7
blood,ttllpeae,3,0.0,0,n,1,1242.6209449768064,18,7
guitar,violin,1,0.86,1,y,1,1077.3189067840576,18,7
engine,tnria,3,0.0,0,0,2,2000.0,18,7
tennis,scocer,2,0.0,0,y,0,1128.07297706604,18,7
phone,light,4,0.2,1,y,1,1497.756004333496,18,7
fruit,orange,1,0.86,1,y,1,1251.2218952178955,18,7
hotel,bbloy,3,0.0,0,n,1,750.2059936523438,18,7
doctor,eusrn,3,0.0,0,n,1,1169.8989868164062,18,7
truck,paper,4,0.24,1,y,1,972.0790386199952,18,7
tennis,soccer,1,0.75,1,y,1,1141.72101020813,18,7
guitar,lemon,4,0.36,1,y,1,1340.745210647583,18,7
blood,ptaelelt,2,0.0,0,n,1,956.063985824585,18,7
chocolate,biscuit,1,0.59,1,y,1,1053.1599521636965,18,7
blood,skirt,4,0.27,1,y,1,1413.423776626587,18,7
insect,tmierte,2,0.0,0,n,1,987.908124923706,18,7
insect,lunch,4,0.22,1,n,0,1722.5360870361328,18,7
photo,cmarea,2,0.0,0,y,0,943.7808990478516,18,7
phone,adior,3,0.0,0,n,1,1631.6211223602295,18,7
tennis,mouse,4,0.09,1,y,1,1227.8430461883545,18,7
cloth,apparel,1,0.71,1,n,0,1379.6639442443848,18,7
truck,vehicle,1,0.8,1,0,2,2000.0,18,7
tea,coffee,1,0.89,1,y,1,1175.497055053711,18,7
cloth,charger,4,0.33,1,y,1,1283.3240032196045,18,7
truck,vclhiee,2,0.0,0,y,0,1115.4780387878418,18,7
