word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
phone,light,4,0.2,1,y,1,1321.0220336914062,23,10
office,jelly,4,0.24,1,y,1,1159.7721576690676,23,10
blood,ptaelelt,2,0.0,0,n,1,907.9141616821288,23,10
office,chair,1,0.53,1,y,1,1309.2241287231445,23,10
photo,camera,1,0.59,1,y,1,915.4748916625977,23,10
tongue,muscle,1,0.8,1,y,1,939.4848346710204,23,10
truck,ilevehc,3,0.0,0,n,1,955.7080268859863,23,10
tennis,mouse,4,0.09,1,y,1,966.5360450744628,23,10
engine,skeleton,4,0.12,1,y,1,950.178861618042,23,10
phone,adior,3,0.0,0,n,1,1019.8791027069092,23,10
cloth,paeaplr,3,0.0,0,n,1,1036.890983581543,23,10
insect,termite,1,0.95,1,y,1,1214.0281200408936,23,10
hotel,lobby,1,0.71,1,y,1,886.7249488830566,23,10
bread,butter,1,0.75,1,y,1,678.3461570739746,23,10
virus,bacteria,1,0.88,1,y,1,741.1420345306396,23,10
tennis,soccer,1,0.75,1,y,1,578.9320468902587,23,10
hotel,lbboy,2,0.0,0,n,1,1001.0550022125244,23,10
tea,cofefe,2,0.0,0,n,1,1191.1041736602785,23,10
fruit,orange,1,0.86,1,y,1,1350.2140045166016,23,10
chocolate,diary,4,0.27,1,y,1,892.0331001281737,23,10
cloth,aeprpal,2,0.0,0,n,1,1008.1300735473633,23,10
bread,buettr,2,0.0,0,y,0,876.0190010070801,23,10
bread,laptop,4,0.2,1,y,1,1126.6579627990725,23,10
blood,skirt,4,0.27,1,y,1,725.8570194244385,23,10
phone,rdaio,2,0.0,0,y,0,733.9580059051514,23,10
office,iahcr,3,0.0,0,n,1,1292.5701141357422,23,10
virus,bieracta,2,0.0,0,n,1,1606.1649322509766,23,10
cloth,apparel,1,0.71,1,y,1,1012.9108428955078,23,10
truck,vehicle,1,0.8,1,y,1,1305.8309555053709,23,10
photo,burger,4,0.42,1,y,1,980.9269905090332,23,10
insect,tmierte,2,0.0,0,n,1,1221.005916595459,23,10
fruit,rneaog,3,0.0,0,n,1,1267.2529220581055,23,10
doctor,shampoo,4,0.21,1,y,1,1149.0070819854734,23,10
guitar,iovlni,3,0.0,0,n,1,1013.3569240570067,23,10
guitar,violin,1,0.86,1,y,1,933.3901405334473,23,10
truck,paper,4,0.24,1,y,1,993.9541816711426,23,10
engine,train,1,0.63,1,y,1,619.4109916687013,23,10
phone,radio,1,0.63,1,y,1,838.7560844421388,23,10
doctor,eusrn,3,0.0,0,n,1,986.3729476928712,23,10
cloth,charger,4,0.33,1,y,1,1050.1110553741457,23,10
hotel,bbloy,3,0.0,0,n,1,1103.523015975952,23,10
chocolate,bcsiiut,2,0.0,0,n,1,1039.0019416809082,23,10
guitar,lemon,4,0.36,1,y,1,882.8740119934082,23,10
photo,raacem,3,0.0,0,y,0,1074.923038482666,23,10
fruit,airplane,4,0.38,1,y,1,1278.7919044494631,23,10
blood,platelet,1,0.53,1,0,2,2000.0,23,10
hotel,onion,4,0.44,1,y,1,1149.6601104736328,23,10
shirt,tersuor,2,0.0,0,n,1,899.7600078582764,23,10
engine,tnria,3,0.0,0,n,1,964.1458988189696,23,10
fruit,ongrae,2,0.0,0,n,1,1610.990047454834,23,10
office,caihr,2,0.0,0,n,1,744.7371482849121,23,10
tongue,muslce,2,0.0,0,y,0,889.8751735687256,23,10
virus,bottle,4,0.47,1,y,1,880.1939487457275,23,10
truck,vclhiee,2,0.0,0,n,1,760.4951858520508,23,10
insect,ttemier,3,0.0,0,n,1,1528.3169746398926,23,10
tea,coffee,1,0.89,1,y,1,1550.3509044647215,23,10
chocolate,biscuit,1,0.59,1,y,1,955.7700157165527,23,10
blood,ttllpeae,3,0.0,0,n,1,739.2971515655518,23,10
tea,eceoff,3,0.0,0,n,1,981.3308715820312,23,10
tongue,selmuc,3,0.0,0,n,1,828.1960487365723,23,10
tea,bicycle,4,0.25,1,y,1,812.7210140228271,23,10
engine,tairn,2,0.0,0,n,1,1540.1530265808105,23,10
tennis,scocer,2,0.0,0,y,0,840.9581184387207,23,10
shirt,ueortrs,3,0.0,0,n,1,935.020923614502,23,10
tennis,rsocce,3,0.0,0,n,1,803.1890392303467,23,10
chocolate,ibcstui,3,0.0,0,n,1,723.9439487457275,23,10
insect,lunch,4,0.22,1,y,1,988.7540340423584,23,10
doctor,nurse,1,0.87,1,y,1,651.4239311218263,23,10
shirt,trouser,1,0.9,1,y,1,668.9190864562987,23,10
bread,utrtbe,3,0.0,0,n,1,757.2000026702881,23,10
tongue,pencil,4,0.25,1,y,1,597.3410606384277,23,10
photo,cmarea,2,0.0,0,n,1,811.7198944091797,23,10
virus,riatcaeb,3,0.0,0,n,1,1052.0942211151123,23,10
guitar,voilin,2,0.0,0,y,0,738.0368709564209,23,10
doctor,nruse,2,0.0,0,n,1,1183.229923248291,23,10
shirt,flower,4,0.4,1,y,1,825.4499435424805,23,10
