word_1,word_2,condition,WUP_score,correct_incorrect,key_pressed,response_status,reaction_time,age_list,participant_id
truck,vehicle,1,0.8,1,0,2,2000.0,19,15
tennis,rsocce,3,0.0,0,y,0,342.3950672149658,19,15
bread,utrtbe,3,0.0,0,0,2,2000.0,19,15
hotel,lobby,1,0.71,1,n,0,155.9798717498779,19,15
chocolate,bcsiiut,2,0.0,0,y,0,1953.1328678131104,19,15
truck,ilevehc,3,0.0,0,n,1,1401.5259742736816,19,15
photo,camera,1,0.59,1,y,1,1210.869073867798,19,15
doctor,eusrn,3,0.0,0,n,1,954.5078277587892,19,15
photo,burger,4,0.42,1,y,1,522.5121974945068,19,15
tongue,pencil,4,0.25,1,n,0,650.5208015441896,19,15
truck,paper,4,0.24,1,y,1,1903.8119316101074,19,15
chocolate,diary,4,0.27,1,y,1,1050.1880645751953,19,15
truck,vclhiee,2,0.0,0,y,0,1090.5439853668213,19,15
fruit,ongrae,2,0.0,0,n,1,1035.496950149536,19,15
office,iahcr,3,0.0,0,n,1,1050.7681369781494,19,15
photo,raacem,3,0.0,0,n,1,844.1359996795654,19,15
guitar,iovlni,3,0.0,0,n,1,931.5340518951416,19,15
office,caihr,2,0.0,0,n,1,946.6438293457032,19,15
tea,eceoff,3,0.0,0,n,1,987.0479106903076,19,15
engine,skeleton,4,0.12,1,y,1,1034.696102142334,19,15
shirt,flower,4,0.4,1,y,1,1051.8231391906736,19,15
engine,tairn,2,0.0,0,n,1,755.7730674743652,19,15
fruit,rneaog,3,0.0,0,n,1,1308.0618381500246,19,15
hotel,bbloy,3,0.0,0,n,1,699.1369724273683,19,15
shirt,tersuor,2,0.0,0,n,1,786.5200042724609,19,15
guitar,violin,1,0.86,1,y,1,1067.697048187256,19,15
guitar,lemon,4,0.36,1,n,0,843.4200286865234,19,15
tea,bicycle,4,0.25,1,y,1,985.7189655303956,19,15
hotel,lbboy,2,0.0,0,n,1,869.9300289154053,19,15
doctor,nruse,2,0.0,0,y,0,837.9449844360353,19,15
bread,butter,1,0.75,1,y,1,1554.0001392364502,19,15
office,chair,1,0.53,1,y,1,1187.4589920043945,19,15
phone,rdaio,2,0.0,0,y,0,565.777063369751,19,15
tongue,muslce,2,0.0,0,y,0,1281.5380096435547,19,15
tea,cofefe,2,0.0,0,y,0,848.4141826629639,19,15
phone,radio,1,0.63,1,y,1,503.59487533569336,19,15
insect,termite,1,0.95,1,y,1,604.2201519012451,19,15
insect,tmierte,2,0.0,0,y,0,708.1770896911621,19,15
cloth,aeprpal,2,0.0,0,n,1,937.3810291290283,19,15
phone,adior,3,0.0,0,n,1,741.7349815368652,19,15
tongue,selmuc,3,0.0,0,n,1,796.7569828033447,19,15
chocolate,biscuit,1,0.59,1,y,1,828.9051055908203,19,15
doctor,shampoo,4,0.21,1,y,1,1061.2030029296877,19,15
cloth,paeaplr,3,0.0,0,n,1,989.6600246429443,19,15
cloth,charger,4,0.33,1,y,1,940.8998489379884,19,15
fruit,orange,1,0.86,1,n,0,794.8830127716064,19,15
chocolate,ibcstui,3,0.0,0,n,1,1087.684154510498,19,15
shirt,trouser,1,0.9,1,y,1,1354.43115234375,19,15
doctor,nurse,1,0.87,1,n,0,940.033197402954,19,15
engine,tnria,3,0.0,0,0,2,2000.0,19,15
blood,skirt,4,0.27,1,y,1,1020.8339691162108,19,15
insect,ttemier,3,0.0,0,y,0,809.2448711395264,19,15
tennis,soccer,1,0.75,1,0,2,2000.0,19,15
shirt,ueortrs,3,0.0,0,n,1,1622.676134109497,19,15
blood,ttllpeae,3,0.0,0,y,0,875.4699230194092,19,15
phone,light,4,0.2,1,y,1,985.3320121765137,19,15
photo,cmarea,2,0.0,0,y,0,517.7631378173828,19,15
fruit,airplane,4,0.38,1,y,1,1264.5750045776367,19,15
bread,laptop,4,0.2,1,y,1,1325.7310390472412,19,15
tongue,muscle,1,0.8,1,y,1,755.0840377807617,19,15
office,jelly,4,0.24,1,y,1,741.7778968811035,19,15
tennis,mouse,4,0.09,1,y,1,661.5989208221437,19,15
virus,bieracta,2,0.0,0,n,1,1029.5379161834717,19,15
cloth,apparel,1,0.71,1,y,1,757.6010227203369,19,15
insect,lunch,4,0.22,1,y,1,844.635009765625,19,15
virus,bacteria,1,0.88,1,y,1,805.3171634674072,19,15
bread,buettr,2,0.0,0,n,1,1461.7130756378174,19,15
engine,train,1,0.63,1,y,1,709.8438739776611,19,15
guitar,voilin,2,0.0,0,y,0,901.1859893798828,19,15
blood,ptaelelt,2,0.0,0,y,0,1112.8990650177002,19,15
blood,platelet,1,0.53,1,y,1,873.3739852905272,19,15
virus,riatcaeb,3,0.0,0,n,1,1149.0859985351562,19,15
virus,bottle,4,0.47,1,y,1,893.582820892334,19,15
tennis,scocer,2,0.0,0,y,0,1669.7111129760742,19,15
hotel,onion,4,0.44,1,y,1,1049.3769645690918,19,15
tea,coffee,1,0.89,1,y,1,597.2139835357666,19,15
